6.84332e+08,3.41572e+09,6.14392e+09,8.87596e+09,9.56401e+09,9.68059e+09,9.6286e+09,9.66933e+09,9.60939e+09,4.87076e+09,9.62969e+09,9.62756e+09,9.63272e+09,9.46712e+09,9.55391e+09
6.84179e+08,3.42039e+09,6.15285e+09,8.87989e+09,9.50793e+09,9.5949e+09,9.58887e+09,9.57523e+09,9.56174e+09,9.5882e+09,9.5687e+09,9.3544e+09,9.57586e+09,9.66243e+09,9.51904e+09
6.8498e+08,3.41838e+09,6.15171e+09,8.87946e+09,9.51975e+09,9.50903e+09,9.60495e+09,9.50592e+09,9.45099e+09,9.50385e+09,9.49392e+09,9.40011e+09,9.50233e+09,9.51163e+09,9.4744e+09
6.85084e+08,3.41979e+09,6.15338e+09,8.87968e+09,9.39167e+09,9.19128e+09,9.37333e+09,9.31479e+09,9.36096e+09,9.46606e+09,9.42636e+09,9.33417e+09,9.46772e+09,9.5377e+09,9.4874e+09
6.85052e+08,3.41991e+09,6.14943e+09,8.83827e+09,9.2473e+09,9.38834e+09,9.26057e+09,9.31388e+09,9.22554e+09,9.26538e+09,9.37343e+09,9.40269e+09,9.25224e+09,9.34828e+09,9.43767e+09
6.82626e+08,3.4177e+09,6.1491e+09,8.73663e+09,9.06642e+09,9.07601e+09,9.18536e+09,9.01243e+09,9.27466e+09,9.10758e+09,9.12417e+09,9.12454e+09,9.23089e+09,9.19914e+09,9.31013e+09
6.83394e+08,3.42059e+09,6.15378e+09,8.82829e+09,8.97566e+09,8.91e+09,8.78865e+09,8.91365e+09,9.07189e+09,9.06864e+09,8.54757e+09,8.87549e+09,9.1113e+09,9.1839e+09,8.84349e+09
6.83108e+08,3.41746e+09,6.15043e+09,8.6598e+09,8.9364e+09,8.88107e+09,8.72288e+09,8.84363e+09,8.76283e+09,8.89386e+09,8.81217e+09,8.78323e+09,8.7928e+09,8.8342e+09,9.10476e+09
6.85208e+08,3.41895e+09,6.15507e+09,8.44841e+09,8.69686e+09,8.85194e+09,8.66414e+09,8.5932e+09,8.6673e+09,8.66782e+09,8.76828e+09,8.7404e+09,8.84531e+09,8.47731e+09,8.69544e+09
6.84975e+08,3.41854e+09,6.14903e+09,8.53805e+09,8.46401e+09,8.48676e+09,8.45408e+09,8.7815e+09,8.57473e+09,8.65167e+09,8.63437e+09,8.6491e+09,8.41096e+09,8.73084e+09,8.73544e+09
6.84296e+08,3.41761e+09,6.15e+09,7.65452e+09,8.25399e+09,8.23345e+09,8.38652e+09,8.49019e+09,8.74759e+09,8.58475e+09,8.56518e+09,8.56433e+09,8.58718e+09,8.60023e+09,8.70291e+09
6.8487e+08,3.41938e+09,6.15146e+09,7.46146e+09,8.35492e+09,7.66307e+09,8.1674e+09,8.24441e+09,8.39693e+09,8.16823e+09,8.19844e+09,8.42067e+09,8.27079e+09,8.17096e+09,8.57224e+09

4.47528e+07,1.88272e+07,1.43962e+07,1.01605e+07,7.90402e+06,7.04014e+06,7.44569e+06,6.62932e+06,7.49562e+06,1.1961e+07,7.73083e+06,7.06669e+06,7.34737e+06,7.11173e+06,7.23557e+06
7.1165e+07,3.31967e+07,2.69344e+07,1.79002e+07,1.4003e+07,1.40691e+07,1.44126e+07,1.27101e+07,1.425e+07,1.33772e+07,1.33419e+07,1.36516e+07,1.4297e+07,1.23801e+07,1.40515e+07
8.52526e+07,5.01287e+07,3.72684e+07,2.65256e+07,2.11442e+07,2.02241e+07,1.96362e+07,2.02071e+07,2.02675e+07,1.9407e+07,1.97995e+07,2.14383e+07,2.00502e+07,2.13208e+07,2.02202e+07
1.05519e+08,6.41219e+07,4.79993e+07,2.94122e+07,2.70264e+07,2.77477e+07,2.68052e+07,2.74114e+07,2.6319e+07,2.47308e+07,2.60724e+07,2.7181e+07,2.52911e+07,2.41953e+07,2.54423e+07
1.48324e+08,7.29117e+07,5.7371e+07,3.6417e+07,3.50883e+07,3.21646e+07,3.47791e+07,3.4461e+07,3.26769e+07,3.40258e+07,2.9086e+07,3.23017e+07,3.41866e+07,3.24677e+07,3.15322e+07
1.57459e+08,8.70196e+07,6.58739e+07,4.27621e+07,4.21e+07,4.13823e+07,3.88953e+07,4.22451e+07,3.78567e+07,3.98646e+07,3.93251e+07,4.21062e+07,4.07252e+07,3.65775e+07,3.68482e+07
1.44473e+08,9.33984e+07,7.32088e+07,5.05876e+07,4.65303e+07,4.55652e+07,4.46215e+07,4.61242e+07,4.5924e+07,4.56913e+07,4.79525e+07,4.56918e+07,4.50595e+07,4.16662e+07,4.47198e+07
1.77688e+08,1.07921e+08,8.18351e+07,5.38208e+07,4.93011e+07,5.37322e+07,4.8985e+07,5.31796e+07,5.33383e+07,4.92382e+07,5.55316e+07,4.7679e+07,5.16261e+07,5.06585e+07,4.99587e+07
1.83779e+08,1.15004e+08,8.47863e+07,5.68422e+07,6.07398e+07,5.40949e+07,5.7766e+07,5.86034e+07,5.4175e+07,5.89864e+07,5.78491e+07,5.67905e+07,5.69431e+07,5.78066e+07,5.69085e+07
2.00668e+08,1.22784e+08,9.12885e+07,6.67837e+07,6.80895e+07,6.54467e+07,6.70841e+07,6.04789e+07,6.59856e+07,5.85866e+07,5.82858e+07,6.36052e+07,7.00529e+07,6.27244e+07,5.8059e+07
2.11542e+08,1.28777e+08,9.74607e+07,8.06367e+07,6.75196e+07,6.71525e+07,6.99784e+07,7.01958e+07,6.73259e+07,6.1074e+07,6.49804e+07,6.8963e+07,6.50648e+07,6.49108e+07,6.70401e+07
2.23638e+08,1.36795e+08,1.03906e+08,9.02311e+07,7.75178e+07,8.39161e+07,7.65266e+07,7.60572e+07,7.36697e+07,8.0073e+07,7.60752e+07,7.57703e+07,7.83226e+07,7.39077e+07,7.17862e+07

