pageable-sdma1.h2d.dat,pinned-sdma1.h2d.dat,pageable-sdma0.h2d.dat,pinned-sdma0.h2d.dat,pageable-sdma1.d2h.dat,pinned-sdma1.d2h.dat,pageable-sdma0.d2h.dat,pinned-sdma0.d2h.dat,pageable-sdma1.d2d.dat,pinned-sdma1.d2d.dat,pageable-sdma0.d2d.dat,pinned-sdma0.d2d.dat
23.2988,23.7729,22.5575,23.7529,23.0373,23.459,23.0757,24.8263,572.718,578.423,578.384,574.152
23.4473,23.7283,23.3572,24.0445,23.1604,23.5467,23.718,25.2832,578.824,575.388,581.845,575.188
23.6475,23.9823,23.5114,24.2926,23.4955,23.8169,24.1329,25.5722,537.816,545.978,544.547,544.624
23.8994,24.1436,23.8625,24.4988,23.7225,24.0777,24.5178,25.7778,532.167,535.565,526.71,532.998
24.0831,24.317,24.0668,24.598,23.9176,24.1761,24.7255,25.9345,543.622,543.455,540.269,536.526
24.2191,24.4104,24.3373,24.6769,24.0625,24.2673,24.879,26.0534,541.439,546.708,544.407,544.364
24.3307,24.4983,24.3234,24.7106,24.1657,24.3653,24.9875,26.127,555.947,557.318,556.679,560.226
24.4266,24.5857,24.3573,24.7297,24.2775,24.4521,25.109,26.0874,570.281,571.331,573.39,573.883
24.5077,24.6655,24.5692,24.7546,24.3555,24.519,25.2076,26.1235,581.297,578.494,579.671,576.413
24.6768,24.7003,24.4916,24.8203,24.4132,24.5586,25.2716,26.1727,582.399,579.053,581.796,581.705
24.7271,24.7669,24.6973,24.8455,24.4713,24.6162,25.3103,26.2222,582.512,583.685,583.598,584.425
24.6656,24.8118,24.6146,24.9045,24.5186,24.652,25.3716,26.2621,592.357,592.776,588.525,591.236
24.7185,24.8624,24.7466,24.9786,24.5644,24.6907,25.4305,26.2778,594.481,598.077,596.758,597.509
24.7203,24.8708,24.724,24.9654,24.593,24.7239,25.4709,26.372,601.68,605.448,603.111,603.185
24.811,24.8964,24.8633,25.0098,24.6574,24.7736,25.4289,26.4335,602.546,607.878,605.491,604.3
24.865,25.0388,24.9316,25.0466,24.7036,24.8468,25.5424,26.4745,609.566,608.87,609.473,605.789
24.8994,25.0356,24.9696,25.1327,24.7606,24.8416,25.5743,26.4503,612.769,614.298,612.833,612.495
24.9919,25.0492,25.0242,25.1318,24.8013,24.8764,25.6764,26.4534,620.398,618.695,619.485,618.272
25.0123,25.0271,25.0476,25.1353,24.8425,24.9263,25.7769,26.5312,617.065,619.297,617.967,618.446
25.0938,25.1212,25.095,25.1877,24.8645,24.9452,25.8104,26.5791,622.535,619.851,621.276,618.83
25.1167,25.1832,25.1254,25.2056,24.8821,24.9486,25.8596,26.5886,628.515,625.095,626.565,622.333
25.1147,25.1377,25.1393,25.2004,24.8733,24.9524,25.8593,26.6002,621.986,621.24,623.889,620.083
25.1387,25.1916,25.1415,25.2103,24.9071,24.9758,25.8256,26.7778,627.335,625.123,627.88,626.96
25.1537,25.2168,25.1736,25.23,24.9537,24.9934,25.933,26.7354,627.078,627.399,629.089,628.827
25.102,25.2163,25.1309,25.2625,24.9749,25.0141,25.9681,26.7412,631.855,631.287,632.538,629.847
25.1332,25.2883,25.1606,25.3253,24.9727,25.0377,25.9756,26.7659,633.031,634.363,635.574,630.927
25.2086,25.2983,25.2198,25.3433,24.9817,25.0527,26.0412,26.7118,634.526,634.789,634.763,632.666
25.2587,25.2819,25.237,25.3322,25.0023,25.0657,26.0496,26.6994,635.966,635.72,635.404,632.74
25.2704,25.3152,25.2419,25.351,25.0119,25.0759,25.9961,26.7547,638.013,637.178,637.381,635.736
25.256,25.3308,25.2803,25.3603,25.019,25.0709,26.0172,26.7585,633.872,636.089,633.748,636.28
